motion_id,style,caption,source_file
M032015,proud_confident,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032015.txt
032016,proud_confident,a person walks in a counter clock wise circle backwards.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032016.txt
M032016,proud_confident,a person walks in a counter clock wise circle backwards.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032016.txt
032017,proud_confident,a person who is walking backwards,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032017.txt
M032017,proud_confident,a person who seems to be walking backwards,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032017.txt
032018,proud_confident,a person who seems to be dancing in the style of waltz,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032018.txt
M032018,proud_confident,a person walks backwards in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032018.txt
032019,proud_confident,"a person moonwalks, spins around, and moonwalks back.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032019.txt
M032019,proud_confident,a person moonwalks in a clockwise hemi-circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032019.txt
032020,proud_confident,the person is doing a backhand slice.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032020.txt
M032020,proud_confident,the person is doing a cart wheel.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032020.txt
032021,proud_confident,a person hops in a circle on their right foot and left foot then hops in a diagonal line on their right foot.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032021.txt
M032021,proud_confident,the person is skipping in a circle swinging his arms around.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032021.txt
032022,proud_confident,a person hops on one foot in a circle while switching feet every half circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032022.txt
M032022,proud_confident,a person hops on one foot in a circle while switching feet every half circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032022.txt
032023,proud_confident,a person hops forward then moves backwards before moving forward again and does two left and two right jabs,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032023.txt
M032023,proud_confident,a person hops in a circle on their right foot and left foot then hops in a diagonal line on their right foot.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032023.txt
032024,proud_confident,a person hops in a circle on their right foot and left foot then hops in a diagonal line on their right foot.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032024.txt
M032024,proud_confident,person hops in a circle on their left foot and right foot then hops in a diagonal line on their left foot.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032024.txt
032025,proud_confident,"a person hopping around in a complete circle on one foot, before doing the same with the other foot.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032025.txt
M032025,proud_confident,a person hops in a circle on their left foot and right foot then hops in a diagonal line on their left foot.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032025.txt
032026,proud_confident,a person hops in a circle on their right foot and left foot then hops in a diagonal line on their right foot.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032026.txt
M032026,proud_confident,a person hops on one foot in a circle while switching feet every half circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032026.txt
032027,proud_confident,a person hops forward then moves backwards before moving forward again and does two left and two right jabs,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032027.txt
M032027,proud_confident,a person hops on one foot in a circle while switching feet every half circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032027.txt
032028,proud_confident,"a person runs forward and then kicks, walks backwards to return to original spot, and then runs forward again repeating kicking motion.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032028.txt
M032028,proud_confident,"a person runs in place, stops, runs again, backs up, and then squats to the ground.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032028.txt
032029,proud_confident,"a person turns around, walks until they leap, and then turns back to walk to the origin.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032029.txt
M032029,proud_confident,a person sprints forwards and then crouches,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032029.txt
032030,proud_confident,a person is skipping counterclockwise.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032030.txt
M032030,proud_confident,person hops in a circle on their right foot and left foot then hops in a diagonal line on their right foot.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032030.txt
032031,proud_confident,"a person walks forward, walks back, walks around and then turns around.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032031.txt
M032031,proud_confident,"a person walks forward, turns around and walks back, then trips and turns around again walking forward with a limp.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032031.txt
032032,proud_confident,a person walks in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032032.txt
M032032,proud_confident,a person walks in a counterclockwise circle twice,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032032.txt
032033,proud_confident,a person walks in a circular route to the right.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032033.txt
M032033,proud_confident,a person walks in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032033.txt
032034,proud_confident,a person walks in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032034.txt
M032034,proud_confident,"a man walks forward, turn around and walks back before turning around again.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032034.txt
032035,proud_confident,"a person walks in a clockwise circle, then jumps back.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032035.txt
M032035,proud_confident,a person walks in a counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032035.txt
032036,proud_confident,"a man walks in a counterclockwise circle, then begins jogging after completing a full circle.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032036.txt
M032036,proud_confident,"a person walks in a clockwise circle, then jumps back.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032036.txt
032037,proud_confident,a person walks in a counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032037.txt
M032037,proud_confident,a person walks in a circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032037.txt
032038,proud_confident,a man walks forward picks something up with his right hand turns counter clockwise then walks back to start and turms clockwise,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032038.txt
M032038,proud_confident,"a person walks in a straight line, turns around, hunches over, and walks the same direction back.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032038.txt
032039,proud_confident,a man paces back and forth around a room with his hands at his hips and his head downtrodden in frustration.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032039.txt
M032039,proud_confident,"a person walks in a curved line, turns around, and walks back in the same line.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032039.txt
032040,proud_confident,a person walks in a circular route to the left.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032040.txt
M032040,proud_confident,the man is walking in a circular motion,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032040.txt
032041,proud_confident,a man moves his left arm in front of him.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032041.txt
M032041,proud_confident,a person lunges forward with his right hand extended,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032041.txt
032042,proud_confident,"a person lifts their left hand up to their head, brings it down",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032042.txt
M032042,proud_confident,a person lunges forward with his left hand extended,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032042.txt
032043,proud_confident,a person curls his left arm up toward his shoulder twice.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032043.txt
M032043,proud_confident,a person crosses their arms,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032043.txt
032044,proud_confident,a person curls his left arm up toward his shoulder twice.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032044.txt
M032044,proud_confident,a man folds his arms in front of him.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032044.txt
032045,proud_confident,a man curls his left arm up toward his shoulder twice.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032045.txt
M032045,proud_confident,a person curls both arms up and down twice.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032045.txt
032046,proud_confident,a person raises their left wrist and then lowers it again.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032046.txt
M032046,proud_confident,a person standing with feet width apart face down looking at the ground hand on top of one another swinging arms back then forward with great force.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032046.txt
032047,proud_confident,a person raises their right hand above their head.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032047.txt
M032047,proud_confident,a person who appears to be holding weights performs two forward curls.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032047.txt
032048,proud_confident,the man has his right hand in the air and drops it back down.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032048.txt
M032048,proud_confident,a person standing with his legs apart and moving the left arms slightly down.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032048.txt
032049,proud_confident,the man made a pointing motion towards the camera. he retracted his left arm and then placed it by his hips.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032049.txt
M032049,proud_confident,the figure curls an imaginary barbell with his left hand.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032049.txt
032050,proud_confident,a person checks their watch.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032050.txt
M032050,proud_confident,a person checks their watch.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032050.txt
032051,proud_confident,the person is running around like a windmill.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032051.txt
M032051,proud_confident,a person hopping down with his/her left leg.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032051.txt
032052,proud_confident,a person does a cartwheel and then walks in a circle to the right.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032052.txt
M032052,proud_confident,a person hopping down with his/her left leg.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032052.txt
032053,proud_confident,a person swings their body and jumps in the air to do a spin kick.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032053.txt
M032053,proud_confident,a person hopping with both his legs,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032053.txt
032054,proud_confident,a person turns left while walking.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032054.txt
M032054,proud_confident,a person hops on his right foot and then turns in place in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032054.txt
032055,proud_confident,a person does two small bunny hops.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032055.txt
M032055,proud_confident,a person turns in a counterclockwise direction while standing in the same spot with arms open in front of them.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032055.txt
032056,proud_confident,a person hops forward then moves backwards before moving forward again and does two right and two left jabs,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032056.txt
M032056,proud_confident,a person hopping with both his legs,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032056.txt
032057,proud_confident,a person does a circular motion with their left hand.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032057.txt
M032057,proud_confident,a person does a roundhouse kick.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032057.txt
032058,proud_confident,"a person jogs forward, turns around, then jogs in a angled line to the left.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032058.txt
M032058,proud_confident,person does two star jumps then does squat jumps arms above head x 2,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032058.txt
032059,proud_confident,someone moves to the left and then to the right and back to starting position with arms straight by sides.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032059.txt
M032059,proud_confident,a man hops forward on his right foot.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032059.txt
032060,proud_confident,the person is running around like a windmill.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032060.txt
M032060,proud_confident,"a person jumps sideways to the left while pulling their arms in and elbows out, then they continue running.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032060.txt
032061,proud_confident,a person walks forward while dragging his left leg behind him.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032061.txt
M032061,proud_confident,this person is dragging something heavy.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032061.txt
032062,proud_confident,person is walking and has injured right leg,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032062.txt
M032062,proud_confident,a person is doing the salsa,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032062.txt
032063,proud_confident,a man steps to the side and then walks around while turning.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032063.txt
M032063,proud_confident,this person is moving as if his is playing a guitar.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032063.txt
032064,proud_confident,"a person dances from side to side, swinging their arms and crossing their feet",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032064.txt
M032064,proud_confident,a person is walking and dragging his right foot.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032064.txt
032065,proud_confident,"a person limps around the floor, waving their arms to keep balance.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032065.txt
M032065,proud_confident,"a person is pushing something counterclockwise in a circle, stops and picks something up and tosses it.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032065.txt
032066,proud_confident,a person is moving around dancing with their arms.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032066.txt
M032066,proud_confident,the person is walking like he is depressed.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032066.txt
032067,proud_confident,a person is walking around the room.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032067.txt
M032067,proud_confident,a person dances while moving their arms.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032067.txt
032068,proud_confident,a person is dancing while running.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032068.txt
M032068,proud_confident,the person is dancing the chacha,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032068.txt
032069,proud_confident,"a person side-steps to the right, and then side-steps to the left.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032069.txt
M032069,proud_confident,the man wave a heavy object around with both hands.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032069.txt
032070,proud_confident,"a person carefully steps to the side, going to their right first and then their left.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032070.txt
M032070,proud_confident,a person slides to the right and then waves his hand.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032070.txt
032071,proud_confident,"a man walks, turns around and walks back then turns around again and returns to his original location.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032071.txt
M032071,proud_confident,"a man walks, then jogs in multiple directions.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032071.txt
032072,proud_confident,a person walks back and forth while trying to make a decision,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032072.txt
M032072,proud_confident,the person is walking around.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032072.txt
032073,proud_confident,a person skips in a counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032073.txt
M032073,proud_confident,the person is walking forward and dancing.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032073.txt
032074,proud_confident,the person is running and jumping around.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032074.txt
M032074,proud_confident,a person who is running from right to left,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032074.txt
032075,proud_confident,a person runs in a circle twice clockwise.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032075.txt
M032075,proud_confident,a person is walking in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032075.txt
032076,proud_confident,a person skips in a clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032076.txt
M032076,proud_confident,a person skips in a counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032076.txt
032077,proud_confident,a person performs a salsa dance.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032077.txt
M032077,proud_confident,a person performs a jab.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032077.txt
032078,proud_confident,a person walking backwards while looking back and then walking straight and then walking backwards again,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032078.txt
M032078,proud_confident,a person moonwalks backward for 4 seconds.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032078.txt
032079,proud_confident,a person squats and crosses his feet.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032079.txt
M032079,proud_confident,a person who is walking backwards,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032079.txt
032080,proud_confident,a person is moving in circles and making large movements with their arms.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/032080.txt
M032080,proud_confident,a person is spinning around.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M032080.txt
034881,proud_confident,"a person turns around, walks until they leap, and then turns back to walk to the origin.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034881.txt
M034881,proud_confident,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034881.txt
034882,proud_confident,a person who seems to be dancing in the style of waltz,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034882.txt
M034882,proud_confident,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034882.txt
034883,proud_confident,a person slowly walks backwards in a clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034883.txt
M034883,proud_confident,a person walks backwards in a counter clockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034883.txt
034884,proud_confident,a person sways back and forth while holding their hands near their face then kneels down and ties their shoe.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034884.txt
M034884,proud_confident,a person walks backwards in a counter counterclockwise circle.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034884.txt
034885,proud_confident,"a person clumsily stumbles while walking diagonally to his right, turns around, and clumsily stumbles halfway in the other direction.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034885.txt
M034885,proud_confident,a person turns around counterclock wise to face the other direction while arms are all the way out then bends both arms to touch the corresponding armpit 7 times then relaxes,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034885.txt
034886,proud_confident,a person walks backwards in a clockwise circle while using their arms to balance by keeping them outstretched at their side.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034886.txt
M034886,proud_confident,a person is walking counter clockwise backwords in a closing spiral.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034886.txt
034887,proud_confident,the person walks backwards in a clockwise semi circle,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034887.txt
M034887,proud_confident,"a person walks backward in a clockwise direction, glancing down at his feet occasionally.",/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034887.txt
034888,proud_confident,a person walks backwards in a counterclockwise circle while using their arms to balance by keeping them outstretched at their side.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034888.txt
M034888,proud_confident,a person walks backwards in a counterclockwise circle while using their arms to balance by keeping them outstretched at their side.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/M034888.txt
034889,proud_confident,the person is waltzing around.,/Data/yash.bhardwaj/datasets/Retargeted100Style/RETARGETED_100STYLE/texts/034889.txt
