rank,style,motion_id,best_caption,best_caption_idx,similarity,source_file
45,angry_aggressive,M011420,a person punches with their right hand.,2,0.8512659,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011420.txt
46,angry_aggressive,M005045,a person punches upwards with right hand.,1,0.8510086,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005045.txt
47,angry_aggressive,006877,a person punches upwards with right hand.,0,0.8510086,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006877.txt
48,angry_aggressive,M005121,a person punches upwards with right hand.,0,0.8510086,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005121.txt
49,angry_aggressive,013344,"in a fighting stance, person punches downward with their left hand.",0,0.85081834,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013344.txt
50,angry_aggressive,014119,a person throws a left punch to someone's gut,0,0.85067,/Data/yash.bhardwaj/datasets/HumanML3D/texts/014119.txt
51,angry_aggressive,002210,a person takes a step forward and then throws a punch with their right hand,1,0.85063434,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002210.txt
52,angry_aggressive,M002551,a person throws a punch with their left hand.,2,0.8502965,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002551.txt
53,angry_aggressive,004260,a person throws a punch with their left hand.,2,0.8502965,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004260.txt
54,angry_aggressive,002606,a person throwing a punch with left hand.,1,0.85026085,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002606.txt
55,angry_aggressive,013166,a person punches upwards with the right hand.,2,0.8500911,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013166.txt
56,angry_aggressive,M009794,a person throws a punch wity their right hand,1,0.8500826,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009794.txt
57,angry_aggressive,009794,a person throws a punch wity their left hand,1,0.8491163,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009794.txt
58,angry_aggressive,M013881,a person punches with left hand,1,0.8476777,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013881.txt
59,angry_aggressive,M011879,a person punches quickly with his right hand.,2,0.84637135,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011879.txt
60,angry_aggressive,M008244,a person throws a punch with the left hand.,1,0.8462461,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008244.txt
61,angry_aggressive,007520,a person throws a forward punch with right arm,0,0.84486496,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007520.txt
62,angry_aggressive,008888,a person punches forward with their left hand,2,0.8445344,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008888.txt
63,angry_aggressive,011420,a person punches with their left hand.,2,0.84413236,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011420.txt
64,angry_aggressive,M013203,a person punches with their left hand.,0,0.84413236,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013203.txt
65,angry_aggressive,M013166,a person punches upwards with the left hand.,2,0.84389883,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013166.txt
66,angry_aggressive,012717,a person is throwing punches,0,0.8431885,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012717.txt
67,angry_aggressive,M012717,a person is throwing punches,0,0.8431885,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012717.txt
68,angry_aggressive,M003778,a person punches with his right hand,2,0.8422079,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003778.txt
69,angry_aggressive,000037,person is using their left arm to dodge a punch,1,0.8415466,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000037.txt
70,angry_aggressive,009907,a person punches then kicks to the right.,2,0.841545,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009907.txt
71,angry_aggressive,013984,a person slaps or strikes something with his right hand,0,0.84128416,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013984.txt
72,angry_aggressive,M003214,a person angrily makes a series of rude gestures and brandishes their fist at someone.,1,0.8411696,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003214.txt
73,angry_aggressive,003214,a person angrily makes a series of rude gestures and brandishes their fist at someone.,1,0.8411696,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003214.txt
74,angry_aggressive,011419,a person punches in front of them with their right hand.,2,0.841124,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011419.txt
75,angry_aggressive,M006877,a person punches upwards with left hand.,0,0.8408414,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006877.txt
76,angry_aggressive,005045,a person punches upwards with left hand.,1,0.8408414,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005045.txt
77,angry_aggressive,005121,a person punches upwards with left hand.,0,0.8408414,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005121.txt
78,angry_aggressive,M006855,person punches with right hand repeatedly.,2,0.8407757,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006855.txt
79,angry_aggressive,004930,a person punches with left hand.,1,0.84029216,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004930.txt
80,angry_aggressive,M000586,a person punches with left hand.,1,0.84029216,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000586.txt
81,angry_aggressive,001628,a person throws punches with their right hand jerks their hand to the right.,1,0.8402237,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001628.txt
82,angry_aggressive,M001628,a person throws punches with their left hand jerks their hand to the left.,1,0.8400643,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001628.txt
83,angry_aggressive,M003070,a person throws a punch with his right hand.,2,0.8389089,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003070.txt
84,angry_aggressive,M009981,a person punches wit his right hand.,1,0.8383905,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009981.txt
85,angry_aggressive,011879,a person punches quickly with his left hand.,2,0.8377062,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011879.txt
86,angry_aggressive,M011258,a person slowly throws punches with their right and left hands.,0,0.83744746,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011258.txt
87,angry_aggressive,M011419,a person punches in front of them with their left hand.,2,0.83701456,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011419.txt
88,angry_aggressive,M014516,a person is punching with their right hand.,0,0.83678627,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014516.txt
89,angry_aggressive,010534,a person is punching with their right hand.,0,0.83678627,/Data/yash.bhardwaj/datasets/HumanML3D/texts/010534.txt
90,angry_aggressive,005653,a person is punching with their right hand.,1,0.83678627,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005653.txt
91,angry_aggressive,M006718,a person gets into a fighting stance.,2,0.8363425,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006718.txt
92,angry_aggressive,006718,a person gets into a fighting stance.,2,0.8363425,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006718.txt
93,angry_aggressive,M014119,a person throws a right punch to someone's gut,0,0.835901,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014119.txt
94,angry_aggressive,003070,a person throws a punch with his left hand.,2,0.83588177,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003070.txt
95,angry_aggressive,006855,person punches with left hand repeatedly.,2,0.83550954,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006855.txt
96,angry_aggressive,007222,a person throws a right over handed punch.,0,0.8354669,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007222.txt
97,angry_aggressive,M009781,a person punches with his right hand.,1,0.8354154,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009781.txt
98,angry_aggressive,006143,a person punches with his right hand.,1,0.8354154,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006143.txt
99,angry_aggressive,010760,a person makes a slapping motion with their right hand.,1,0.8352766,/Data/yash.bhardwaj/datasets/HumanML3D/texts/010760.txt
100,angry_aggressive,M000037,person is using their right arm to dodge a punch,1,0.83456516,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000037.txt
101,angry_aggressive,014516,a person is punching with their left hand.,0,0.8339281,/Data/yash.bhardwaj/datasets/HumanML3D/texts/014516.txt
102,angry_aggressive,M010534,a person is punching with their left hand.,0,0.8339281,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M010534.txt
103,angry_aggressive,M005653,a person is punching with their left hand.,1,0.8339281,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005653.txt
104,angry_aggressive,011258,a person slowly throws punches with their left and right hands.,0,0.83368325,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011258.txt
105,angry_aggressive,003778,a person punches with his left hand,2,0.8331277,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003778.txt
106,angry_aggressive,M009907,a person punches then kicks to the left.,2,0.832876,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009907.txt
107,angry_aggressive,M011690,person is throwing some punches,1,0.83124214,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011690.txt
108,angry_aggressive,011690,person is throwing some punches,1,0.83124214,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011690.txt
109,angry_aggressive,M013276,a person punches with each hand.,2,0.8311837,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013276.txt
110,angry_aggressive,013276,a person punches with each hand.,2,0.8311837,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013276.txt
111,angry_aggressive,M000628,a person throws punches from a crouched position.,0,0.8310574,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000628.txt
112,angry_aggressive,000628,a person throws punches from a crouched position.,0,0.8310574,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000628.txt
113,angry_aggressive,M006128,a person starts punching and kicking the air.,1,0.83103704,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006128.txt
114,angry_aggressive,006128,a person starts punching and kicking the air.,1,0.83103704,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006128.txt
115,angry_aggressive,M010760,a person makes a slapping motion with their left hand.,1,0.83055496,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M010760.txt
116,angry_aggressive,M009621,a person punches out with each hand.,0,0.83014554,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009621.txt
117,angry_aggressive,009621,a person punches out with each hand.,0,0.83014554,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009621.txt
118,angry_aggressive,M013984,a person slaps or strikes something with his left hand,0,0.82983434,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013984.txt
119,angry_aggressive,M007222,a person throws a left over handed punch.,0,0.82926136,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007222.txt
120,angry_aggressive,M006411,a person makes angry arm movements while stumbling around.,1,0.82859683,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006411.txt
121,angry_aggressive,006411,a person makes angry arm movements while stumbling around.,1,0.82859683,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006411.txt
122,angry_aggressive,007473,a person throwing a punch upwards similar to a uppercut motion,0,0.82755107,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007473.txt
123,angry_aggressive,M007473,a person throwing a punch upwards similar to a uppercut motion,0,0.82755107,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007473.txt
124,angry_aggressive,009981,a person punches wit his left hand.,1,0.8271512,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009981.txt
125,angry_aggressive,006945,a person clenches their fists then hops forward,2,0.8266721,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006945.txt
126,angry_aggressive,M006945,a person clenches their fists then hops forward,2,0.8266721,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006945.txt
127,angry_aggressive,M004744,a person goes in a fighting stance and kicks the air multiple times.,0,0.82647264,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004744.txt
128,angry_aggressive,004744,a person goes in a fighting stance and kicks the air multiple times.,0,0.82647264,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004744.txt
129,angry_aggressive,M001256,a person uses left arm to punch upwards to the right.,0,0.82623196,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001256.txt
130,angry_aggressive,009781,a person punches with his left hand.,1,0.82572633,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009781.txt
131,angry_aggressive,M006143,a person punches with his left hand.,1,0.82572633,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006143.txt
132,angry_aggressive,M003063,a person doing a punching motion,0,0.824931,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003063.txt
133,angry_aggressive,003063,a person doing a punching motion,0,0.824931,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003063.txt
134,angry_aggressive,M000450,person drops something from their hands and kicks it,0,0.8243568,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000450.txt
135,angry_aggressive,000450,person drops something from their hands and kicks it,0,0.8243568,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000450.txt
136,angry_aggressive,M002313,a person punches up with their left arm,0,0.82422346,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002313.txt
137,angry_aggressive,010738,a person is punching with his right hand.,0,0.82421017,/Data/yash.bhardwaj/datasets/HumanML3D/texts/010738.txt
138,angry_aggressive,014128,a person punches the air with their left hand,0,0.8237887,/Data/yash.bhardwaj/datasets/HumanML3D/texts/014128.txt
139,angry_aggressive,006267,a person throws a punch with their right hand then with their left hand.,0,0.8233905,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006267.txt
140,angry_aggressive,M014128,a person punches the air with their right hand,0,0.82338417,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014128.txt
141,angry_aggressive,M000493,a person raises their arms and hits down on something in front of them repeatedly,1,0.82327884,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000493.txt
142,angry_aggressive,000493,a person raises their arms and hits down on something in front of them repeatedly,1,0.82327884,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000493.txt
143,angry_aggressive,M006267,a person throws a punch with their left hand then with their right hand.,0,0.82324827,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006267.txt
144,angry_aggressive,012544,person is throwing boxing punches,1,0.82319164,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012544.txt
145,angry_aggressive,M012544,person is throwing boxing punches,1,0.82319164,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012544.txt
146,angry_aggressive,M012376,person throws a punch with left arm.,2,0.8230701,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012376.txt
147,angry_aggressive,M001082,a person shoves their arms out in an angry fashion.,0,0.822839,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001082.txt
148,angry_aggressive,001082,a person shoves their arms out in an angry fashion.,0,0.822839,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001082.txt
149,angry_aggressive,M006315,a person slaps something with their right hand.,1,0.822822,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006315.txt
150,angry_aggressive,M000512,a person slowly hooks their left arm in a punch motion,2,0.8228053,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000512.txt
151,angry_aggressive,M010738,a person is punching with his left hand.,0,0.82172126,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M010738.txt
152,angry_aggressive,003382,a person appears to be punching in front of them,2,0.8215312,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003382.txt
153,angry_aggressive,M003382,a person appears to be punching in front of them,2,0.8215312,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003382.txt
154,angry_aggressive,M001196,a person uses their left arm to block a punch,2,0.82136756,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001196.txt
155,angry_aggressive,M012565,a person runs forward and then enters a fighting stance.,2,0.8202444,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012565.txt
156,angry_aggressive,012565,a person runs forward and then enters a fighting stance.,2,0.8202444,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012565.txt
157,angry_aggressive,002313,a person punches up with their right arm,0,0.8201624,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002313.txt
158,angry_aggressive,000512,a person slowly hooks their right arm in a punch motion,2,0.8194618,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000512.txt
159,angry_aggressive,007745,a person punches with their right hand and then their left.,1,0.8193088,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007745.txt
160,angry_aggressive,009221,a person punches forwards with both hands and kicks forwards with both feet.,2,0.81922626,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009221.txt
161,angry_aggressive,M009221,a person punches forwards with both hands and kicks forwards with both feet.,2,0.81922626,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009221.txt
162,angry_aggressive,012575,a person punches the air with their left hand.,1,0.8191598,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012575.txt
163,angry_aggressive,008636,a person punches with both arms.,1,0.8190564,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008636.txt
164,angry_aggressive,M008636,a person punches with both arms.,1,0.8190564,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008636.txt
165,angry_aggressive,M005189,a person punches with an upper cut with right hand,1,0.81889635,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005189.txt
166,angry_aggressive,014243,a person throws something carelessly in front of them with frustration.,1,0.8187671,/Data/yash.bhardwaj/datasets/HumanML3D/texts/014243.txt
167,angry_aggressive,M014243,a person throws something carelessly in front of them with frustration.,1,0.8187671,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014243.txt
168,angry_aggressive,007655,a person who is punching in a very over extended manner,2,0.81855655,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007655.txt
169,angry_aggressive,M007655,a person who is punching in a very over extended manner,2,0.81855655,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007655.txt
170,angry_aggressive,M006558,a person throws various punches with both their right and left hands.,2,0.8180069,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006558.txt
171,angry_aggressive,M001696,a person aggressively kneeing and kicking.,1,0.81715137,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001696.txt
172,angry_aggressive,001696,a person aggressively kneeing and kicking.,1,0.81715137,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001696.txt
173,angry_aggressive,M014479,a person waves something over and then gets in a fighting position,1,0.8171158,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014479.txt
174,angry_aggressive,014479,a person waves something over and then gets in a fighting position,1,0.8171158,/Data/yash.bhardwaj/datasets/HumanML3D/texts/014479.txt
175,angry_aggressive,M012575,a person punches the air with their right hand.,1,0.8166826,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012575.txt
176,angry_aggressive,000744,a person throws something up with both hands,1,0.8166554,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000744.txt
177,angry_aggressive,M000744,a person throws something up with both hands,1,0.8166554,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000744.txt
178,angry_aggressive,M009935,a person is in a fighting stance.,0,0.8164114,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009935.txt
179,angry_aggressive,009935,a person is in a fighting stance.,0,0.8164114,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009935.txt
180,angry_aggressive,002371,a person walks in all directions while performing aggressive gestures.,0,0.81633747,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002371.txt
181,angry_aggressive,M002371,a person walks in all directions while performing aggressive gestures.,0,0.81633747,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002371.txt
182,angry_aggressive,M004477,a person punching with his right hand.,1,0.81608504,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004477.txt
183,angry_aggressive,012845,a person punches out in front of them alternating hands,0,0.81600404,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012845.txt
184,angry_aggressive,M012845,a person punches out in front of them alternating hands,0,0.81600404,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012845.txt
185,angry_aggressive,M009628,a person throws something forward with both hands.,2,0.8158586,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009628.txt
186,angry_aggressive,009628,a person throws something forward with both hands.,2,0.8158586,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009628.txt
187,angry_aggressive,001256,a person uses right arm to punch upwards to the left.,0,0.8157381,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001256.txt
188,angry_aggressive,012376,person throws a punch with right arm.,2,0.8151803,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012376.txt
189,angry_aggressive,M008464,"person does a boxing punch, right uppercut",0,0.81511414,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008464.txt
190,angry_aggressive,006315,a person slaps something with their left hand.,1,0.8151057,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006315.txt
191,angry_aggressive,M006996,a person turns to the left and punches with their left arm.,2,0.81459713,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006996.txt
192,angry_aggressive,M006428,a person uses self defense by kicking and holding their hands up in preparation for punching,1,0.8145574,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006428.txt
193,angry_aggressive,006428,a person uses self defense by kicking and holding their hands up in preparation for punching,1,0.8145574,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006428.txt
194,angry_aggressive,005189,a person punches with an upper cut with left hand,1,0.8145413,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005189.txt
195,angry_aggressive,012479,a person punches with their right hand then their left hand,2,0.8142696,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012479.txt
196,angry_aggressive,004477,a person punching with his left hand.,1,0.81406265,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004477.txt
197,angry_aggressive,M001366,a person hitting a left boxing punch..,2,0.81404954,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001366.txt
