rank,style,motion_id,best_caption,best_caption_idx,similarity,source_file
23,robot_mechanical,013886,a person stands still while making a horizontal circular motion with their right hand,1,0.8176314,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013886.txt
24,robot_mechanical,000221,a person moves their left arm in a circular motion,1,0.8174585,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000221.txt
25,robot_mechanical,M014553,person brings right arm up and bends it to stretch it backwards,0,0.8172939,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014553.txt
26,robot_mechanical,013453,a person moves their arms from their left to the right.,2,0.817074,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013453.txt
27,robot_mechanical,006565,a person moves something with both hands from left to right.,2,0.8153221,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006565.txt
28,robot_mechanical,005659,a person stands from a sitting position and makes a motion with both of his hands.,1,0.81445646,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005659.txt
29,robot_mechanical,M005659,a person stands from a sitting position and makes a motion with both of his hands.,1,0.81445646,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005659.txt
30,robot_mechanical,000172,a person makes a big motion with their left arm,0,0.8142235,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000172.txt
31,robot_mechanical,M006565,a person moves something with both hands from right to left.,2,0.813635,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006565.txt
32,robot_mechanical,007903,a person stands and moves right hand side to side,0,0.81361073,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007903.txt
33,robot_mechanical,M013547,a person rotates their arm in and out.,0,0.8133404,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013547.txt
34,robot_mechanical,013547,a person rotates their arm in and out.,0,0.8133404,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013547.txt
35,robot_mechanical,007752,a person moves right arm up and back to the knee,1,0.81279534,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007752.txt
36,robot_mechanical,002568,a figure moves its hand in a circular motion across its body and right arm,2,0.8115016,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002568.txt
37,robot_mechanical,009016,a person moves their arm back and forth in a pulling motion.,2,0.8114289,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009016.txt
38,robot_mechanical,M009016,a person moves their arm back and forth in a pulling motion.,2,0.8114289,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009016.txt
39,robot_mechanical,000583,"a person loosening up by moving their arms , shoulders and legs slightly.",0,0.811328,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000583.txt
40,robot_mechanical,M000583,"a person loosening up by moving their arms , shoulders and legs slightly.",0,0.811328,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000583.txt
41,robot_mechanical,M003638,a person rotates both arms in an clockwise rotation,1,0.8108948,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003638.txt
42,robot_mechanical,007597,"a person uses reaching motion with right arm, and then brings hands to middle and extends arms outward and horizontally twice",1,0.81009775,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007597.txt
43,robot_mechanical,M001065,a person sways slightly from left to right and uses him arms as if to balance himself.,0,0.8100779,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001065.txt
44,robot_mechanical,M012001,person is moving something from right to left with both arms,1,0.80907637,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012001.txt
45,robot_mechanical,012292,a person spreads their arms horizontally before letting them fall to their sides,1,0.80852896,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012292.txt
46,robot_mechanical,M012292,a person spreads their arms horizontally before letting them fall to their sides,1,0.80852896,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012292.txt
47,robot_mechanical,M013886,a person stands still while making a horizontal circular motion with their left hand,1,0.8080926,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013886.txt
48,robot_mechanical,M004979,person takes left arm and stretches it in front of body,1,0.80794173,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004979.txt
49,robot_mechanical,002049,a person reaches forward with their right arm,1,0.8074565,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002049.txt
50,robot_mechanical,M004178,a person moves their left arm up and down in front of them,2,0.80667037,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004178.txt
51,robot_mechanical,M002818,a person extends their arms back and forth,1,0.80656064,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002818.txt
52,robot_mechanical,002818,a person extends their arms back and forth,1,0.80656064,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002818.txt
53,robot_mechanical,M002092,a person bends left arm and moves it back and forth several times while slightly leaning to the left.,1,0.8058281,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002092.txt
54,robot_mechanical,002222,person sat down moving right and left hands to rotate motion,2,0.80562234,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002222.txt
55,robot_mechanical,012354,"a person stretches their arm out, curves outwards and returns it to the neutral position",0,0.80548215,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012354.txt
56,robot_mechanical,M012354,"a person stretches their arm out, curves outwards and returns it to the neutral position",0,0.80548215,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012354.txt
57,robot_mechanical,M012630,person extends arms forward and sweeps them outward,2,0.80543983,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012630.txt
58,robot_mechanical,012630,person extends arms forward and sweeps them outward,2,0.80543983,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012630.txt
59,robot_mechanical,005689,a person uses their arms to motion from the right side of the screen to the left side.,2,0.8050002,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005689.txt
60,robot_mechanical,M007021,a person stands still and mixes something with their left arm in a counterclockwise motion.,2,0.804918,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007021.txt
61,robot_mechanical,M007903,a person stands and moves left hand side to side,0,0.80459785,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007903.txt
62,robot_mechanical,008143,a person stretches right hand forward,0,0.80456895,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008143.txt
63,robot_mechanical,M006348,a person raises their arms and rotates their torso back and forth.,2,0.80434865,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006348.txt
64,robot_mechanical,006348,a person raises their arms and rotates their torso back and forth.,2,0.80434865,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006348.txt
65,robot_mechanical,M009840,a person uses their right arm to make a circular motion in front of them.,1,0.80420977,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009840.txt
66,robot_mechanical,003923,a person appears to be moving something with both hands.,0,0.8039235,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003923.txt
67,robot_mechanical,M003923,a person appears to be moving something with both hands.,0,0.8039235,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003923.txt
68,robot_mechanical,005936,a person moves arms slightly in place.,2,0.8038893,/Data/yash.bhardwaj/datasets/HumanML3D/texts/005936.txt
69,robot_mechanical,M005936,a person moves arms slightly in place.,2,0.8038893,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005936.txt
70,robot_mechanical,M005689,a person uses their arms to motion from the left side of the screen to the right side.,2,0.80381435,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005689.txt
71,robot_mechanical,009944,a person reaches with their right arm and pulls on their upper left arm,2,0.8032923,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009944.txt
72,robot_mechanical,M013453,a person moves their arms from their right to the left.,2,0.80299985,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013453.txt
73,robot_mechanical,012001,person is moving something from left to right with both arms,1,0.8029154,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012001.txt
74,robot_mechanical,012927,person moving arm in up motion,1,0.8022234,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012927.txt
75,robot_mechanical,M012927,person moving arm in up motion,1,0.8022234,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012927.txt
76,robot_mechanical,013287,"a person puts their right arm straight out and moves it to the left, in front, and then to the right",0,0.8021941,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013287.txt
77,robot_mechanical,M011472,a person winding up their body to throw something a lot of force,1,0.8016206,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011472.txt
78,robot_mechanical,011472,a person winding up their body to throw something a lot of force,1,0.8016206,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011472.txt
79,robot_mechanical,014553,person brings left arm up and bends it to stretch it backwards,0,0.8015984,/Data/yash.bhardwaj/datasets/HumanML3D/texts/014553.txt
80,robot_mechanical,004067,a person reaches forward with the right hand and then lets their arm drop to their side.,0,0.8015946,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004067.txt
81,robot_mechanical,001101,person  raises both arms and moves right arm in a forward motion,2,0.80153096,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001101.txt
82,robot_mechanical,006951,a person releases their left arm while keeping their right arm extended,0,0.8015092,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006951.txt
83,robot_mechanical,M001517,person raises their right arm and moved head towards wrist,2,0.80142134,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001517.txt
84,robot_mechanical,M000799,a person moving arms and right leg in a certain motion,2,0.800884,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000799.txt
85,robot_mechanical,004385,a person moves their right arm in a circular motion.,2,0.8008226,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004385.txt
86,robot_mechanical,M001798,person turns body slightly and moves backwards,1,0.8003516,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001798.txt
87,robot_mechanical,001798,person turns body slightly and moves backwards,1,0.8003516,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001798.txt
88,robot_mechanical,M010510,a person stands in one place while their arms and upper body move around,0,0.8002474,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M010510.txt
89,robot_mechanical,010510,a person stands in one place while their arms and upper body move around,0,0.8002474,/Data/yash.bhardwaj/datasets/HumanML3D/texts/010510.txt
90,robot_mechanical,M007752,a person moves left arm up and back to the knee,1,0.8000178,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007752.txt
91,robot_mechanical,001162,a person lifts an object and moves it from left to right and set it back down,2,0.79963475,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001162.txt
92,robot_mechanical,M002222,person sat down moving left and right hands to rotate motion,2,0.799602,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002222.txt
93,robot_mechanical,M007732,"a person moves both arms straight in front, and bends them at the elbow",1,0.79948866,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007732.txt
94,robot_mechanical,007732,"a person moves both arms straight in front, and bends them at the elbow",1,0.79948866,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007732.txt
95,robot_mechanical,000272,a person moves their left hand in a clockwise motion,1,0.7993355,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000272.txt
96,robot_mechanical,M013287,"a person puts their left arm straight out and moves it to the right, in front, and then to the left",0,0.79925936,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013287.txt
97,robot_mechanical,M000038,a person bends their arms at the elbow and moves their right arm up and down,2,0.79921097,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000038.txt
98,robot_mechanical,M006951,a person releases their right arm while keeping their left arm extended,0,0.79912245,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006951.txt
99,robot_mechanical,001265,a person moves their arms and shoulders back and forth.,2,0.7990752,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001265.txt
100,robot_mechanical,M001265,a person moves their arms and shoulders back and forth.,2,0.7990752,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001265.txt
101,robot_mechanical,M004170,a person sits and moves their right arm,0,0.79885375,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004170.txt
102,robot_mechanical,M002042,a person tilts over then stand up shifting both hands to the left.,0,0.79874027,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002042.txt
103,robot_mechanical,009840,a person uses their left arm to make a circular motion in front of them.,1,0.7985419,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009840.txt
104,robot_mechanical,007917,a person shifts their body from left to right before throwing forward with their right hand.,2,0.79844475,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007917.txt
105,robot_mechanical,012853,a person performs a stretch to the right,1,0.7983005,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012853.txt
106,robot_mechanical,004503,a person moves something with both arms.,2,0.7982761,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004503.txt
107,robot_mechanical,M004503,a person moves something with both arms.,2,0.7982761,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004503.txt
108,robot_mechanical,M001874,a person is moving its right and left arm up and down from shoulder to side,2,0.79822904,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001874.txt
109,robot_mechanical,002042,a person tilts over then stand up shifting both hands to the right.,0,0.7980064,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002042.txt
110,robot_mechanical,M009080,"a person spreads with arms straight out, before beinging them back down to their side",0,0.79796124,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009080.txt
111,robot_mechanical,009080,"a person spreads with arms straight out, before beinging them back down to their side",0,0.79796124,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009080.txt
112,robot_mechanical,002885,a person moves their right hand in a clockwise motion in front of them at chest level,0,0.7978361,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002885.txt
113,robot_mechanical,007281,a person bends slightly at the shoulders and mimics the movements of picking something up with both arms moving it from their left side to their right side.,0,0.79764026,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007281.txt
114,robot_mechanical,001065,a person sways slightly from right to left and uses him arms as if to balance himself.,0,0.79740775,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001065.txt
115,robot_mechanical,000754,a person is moving both hands in an up and down motion.,2,0.7973937,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000754.txt
116,robot_mechanical,M000754,a person is moving both hands in an up and down motion.,2,0.7973937,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000754.txt
117,robot_mechanical,001761,person moves forward and moves right hand with something in it carefully,1,0.7972287,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001761.txt
118,robot_mechanical,M001162,a person lifts an object and moves it from right to left and set it back down,2,0.7972096,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001162.txt
119,robot_mechanical,006556,a person moves their right hand in front of their body quickly.,0,0.7970452,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006556.txt
120,robot_mechanical,012265,a person uses their left arm out in front of their body in a counter-clockwise rotating motion,0,0.79703176,/Data/yash.bhardwaj/datasets/HumanML3D/texts/012265.txt
121,robot_mechanical,007278,"a person stands still while using their right arm to move from left to right, up and then down, and then out and in.",0,0.79701966,/Data/yash.bhardwaj/datasets/HumanML3D/texts/007278.txt
122,robot_mechanical,M012853,a person performs a stretch to the left,1,0.7969582,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M012853.txt
123,robot_mechanical,004935,a person lifts something with both hands and moves it towards their right side then sets it down,2,0.7967895,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004935.txt
124,robot_mechanical,000635,a person quickly folds their arms while standing up,0,0.7967267,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000635.txt
125,robot_mechanical,M000635,a person quickly folds their arms while standing up,0,0.7967267,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M000635.txt
126,robot_mechanical,003638,a person rotates both arms in an anti-clockwise rotation,1,0.7965348,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003638.txt
127,robot_mechanical,000885,person lifts their right arm up to their side and puts it back down again,1,0.7963233,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000885.txt
128,robot_mechanical,006347,person is bending slightly and putting arms out to side,1,0.7961465,/Data/yash.bhardwaj/datasets/HumanML3D/texts/006347.txt
129,robot_mechanical,M006347,person is bending slightly and putting arms out to side,1,0.7961465,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M006347.txt
130,robot_mechanical,002092,a person bends right arm and moves it back and forth several times while slightly leaning to the right.,1,0.7958401,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002092.txt
131,robot_mechanical,001073,a person makes an s-motion with their hands & arms.,0,0.7957815,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001073.txt
132,robot_mechanical,M001073,a person makes an s-motion with their hands & arms.,0,0.7957815,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001073.txt
133,robot_mechanical,M002038,a person bends their arms at the elbows and moves them up and down,0,0.7957704,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002038.txt
134,robot_mechanical,002038,a person bends their arms at the elbows and moves them up and down,0,0.7957704,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002038.txt
135,robot_mechanical,M007597,"a person uses reaching motion with left arm, and then brings hands to middle and extends arms outward and horizontally twice",1,0.7956862,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007597.txt
136,robot_mechanical,M009632,a person raises their arms then shift their body from right to left before bending down and repeating.,0,0.79561913,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009632.txt
137,robot_mechanical,M013835,a person moves from side to side in a dance motion,0,0.79560494,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013835.txt
138,robot_mechanical,013835,a person moves from side to side in a dance motion,0,0.79560494,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013835.txt
139,robot_mechanical,014190,a person bend the body to right direction,1,0.79553235,/Data/yash.bhardwaj/datasets/HumanML3D/texts/014190.txt
140,robot_mechanical,000038,a person bends their arms at the elbow and moves their left arm up and down,2,0.79551244,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000038.txt
141,robot_mechanical,M011860,person is stretching by moving around their shoulders and arms,2,0.79548013,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M011860.txt
142,robot_mechanical,011860,person is stretching by moving around their shoulders and arms,2,0.79548013,/Data/yash.bhardwaj/datasets/HumanML3D/texts/011860.txt
143,robot_mechanical,003894,a person lifts up both hands and rotates to the right.,0,0.79537535,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003894.txt
144,robot_mechanical,M014190,a person bend the body to left direction,1,0.79535913,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014190.txt
145,robot_mechanical,M014613,a person reaches form something on the right and moves it to the left.,1,0.79532075,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014613.txt
146,robot_mechanical,009632,a person raises their arms then shift their body from left to right before bending down and repeating.,0,0.79510176,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009632.txt
147,robot_mechanical,M014408,a person is being active with their arms while turning around.,1,0.7950982,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M014408.txt
148,robot_mechanical,014408,a person is being active with their arms while turning around.,1,0.7950982,/Data/yash.bhardwaj/datasets/HumanML3D/texts/014408.txt
149,robot_mechanical,M003757,a person wave their arm in a straight motion,2,0.79494333,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003757.txt
150,robot_mechanical,003757,a person wave their arm in a straight motion,2,0.79494333,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003757.txt
151,robot_mechanical,002325,a person walks in an 's' motion with their arms slightly bent.,2,0.7946711,/Data/yash.bhardwaj/datasets/HumanML3D/texts/002325.txt
152,robot_mechanical,M002325,a person walks in an 's' motion with their arms slightly bent.,2,0.7946711,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002325.txt
153,robot_mechanical,003916,a person flexes chest area by moving arms outwards and inwards.,2,0.79456556,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003916.txt
154,robot_mechanical,M003916,a person flexes chest area by moving arms outwards and inwards.,2,0.79456556,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003916.txt
155,robot_mechanical,M001101,person  raises both arms and moves left arm in a forward motion,2,0.7944696,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M001101.txt
156,robot_mechanical,M005105,a person with the help of the right arm stretches the left arm,1,0.7944524,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M005105.txt
157,robot_mechanical,M004181,a person walks forward and puts arms out at sides like trying to balance,2,0.79421675,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004181.txt
158,robot_mechanical,004181,a person walks forward and puts arms out at sides like trying to balance,2,0.79421675,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004181.txt
159,robot_mechanical,M010775,person lifts right arm to the front and then to the side,2,0.7940841,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M010775.txt
160,robot_mechanical,M013780,person leans forward and stretches out right hand to move something around,1,0.79388,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013780.txt
161,robot_mechanical,008199,a person moves their right hand up and down in a repetitive motion.,2,0.7938745,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008199.txt
162,robot_mechanical,009485,a person reaches his right arm straight forward,1,0.7935076,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009485.txt
163,robot_mechanical,001703,"a person lowers arms from being stretched out to either side, and turns around clockwise.",0,0.79350424,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001703.txt
164,robot_mechanical,M002049,a person reaches forward with their left arm,1,0.79336846,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M002049.txt
165,robot_mechanical,009782,a person performs a joining motion with their hands twice.,1,0.7930895,/Data/yash.bhardwaj/datasets/HumanML3D/texts/009782.txt
166,robot_mechanical,M009782,a person performs a joining motion with their hands twice.,1,0.7930895,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M009782.txt
167,robot_mechanical,008810,a person lifts and moves something from left to right.,2,0.79293436,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008810.txt
168,robot_mechanical,008969,"person reaches forward with hands, and makes repeated movements in front of themselves.",0,0.7926737,/Data/yash.bhardwaj/datasets/HumanML3D/texts/008969.txt
169,robot_mechanical,M008969,"person reaches forward with hands, and makes repeated movements in front of themselves.",0,0.7926737,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008969.txt
170,robot_mechanical,000799,a person moving arms and left leg in a certain motion,2,0.79246914,/Data/yash.bhardwaj/datasets/HumanML3D/texts/000799.txt
171,robot_mechanical,003374,person bends down a little in a lifting position and moves hands left to right,2,0.79244375,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003374.txt
172,robot_mechanical,013363,a person is doing a dance while shifting between both arm positions and turning around.,1,0.7922056,/Data/yash.bhardwaj/datasets/HumanML3D/texts/013363.txt
173,robot_mechanical,M013363,a person is doing a dance while shifting between both arm positions and turning around.,1,0.7922056,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M013363.txt
174,robot_mechanical,001874,a person is moving its left and right arm up and down from shoulder to side,2,0.79206586,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001874.txt
175,robot_mechanical,M004385,a person moves their left arm in a circular motion.,2,0.7917585,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004385.txt
176,robot_mechanical,M007281,a person bends slightly at the shoulders and mimics the movements of picking something up with both arms moving it from their right side to their left side.,0,0.7915077,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M007281.txt
177,robot_mechanical,003660,a person does a small body shift while standing.,2,0.79142594,/Data/yash.bhardwaj/datasets/HumanML3D/texts/003660.txt
178,robot_mechanical,M003660,a person does a small body shift while standing.,2,0.79142594,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M003660.txt
179,robot_mechanical,004511,"a person lifts an object with both hands, shifts it to the side, and sets it down.",0,0.7914123,/Data/yash.bhardwaj/datasets/HumanML3D/texts/004511.txt
180,robot_mechanical,M004511,"a person lifts an object with both hands, shifts it to the side, and sets it down.",0,0.7914123,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M004511.txt
181,robot_mechanical,001517,person raises their left arm and moved head towards wrist,2,0.79129183,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001517.txt
182,robot_mechanical,010075,a person rotates their right hand and arm in a clockwise motion in front of themselves parallel to the floor.,2,0.79125285,/Data/yash.bhardwaj/datasets/HumanML3D/texts/010075.txt
183,robot_mechanical,M008810,a person lifts and moves something from right to left.,2,0.791037,/Data/yash.bhardwaj/datasets/HumanML3D/texts/M008810.txt
184,robot_mechanical,001827,a person moves quickly forward with arms and legs outstretched to appear bigger.,0,0.79095143,/Data/yash.bhardwaj/datasets/HumanML3D/texts/001827.txt
